dataset,image,method,psnr,ssim
APTOS,07a2b8cabf6b.png,bicubic,37.17696706817925,0.8808786332555805
APTOS,07a2b8cabf6b.png,espcn,36.837052233421865,0.9096658760576188
APTOS,07a2b8cabf6b.png,fsrcnn,30.50282685445079,0.8528362621845827
APTOS,07a2b8cabf6b.png,srcnn,37.3535055349145,0.9072687983182992
APTOS,07e827469099.png,bicubic,37.20952284606408,0.8817010238880272
APTOS,07e827469099.png,espcn,36.64944161191465,0.9576993860254737
APTOS,07e827469099.png,fsrcnn,28.68139450833312,0.9377706058667403
APTOS,07e827469099.png,srcnn,37.039893939401495,0.9000006450640382
APTOS,07f5d7baf907.png,bicubic,38.37486383627737,0.9053649822095716
APTOS,07f5d7baf907.png,espcn,34.96222264159257,0.9576838296334119
APTOS,07f5d7baf907.png,fsrcnn,27.360298449788125,0.8751295536641625
APTOS,07f5d7baf907.png,srcnn,37.92327598566293,0.9573588373028983
APTOS,08037e4490e5.png,bicubic,38.62296298307549,0.8899083383786102
APTOS,08037e4490e5.png,espcn,38.63328066140684,0.9712266816993428
APTOS,08037e4490e5.png,fsrcnn,31.565218494866745,0.9596984848584774
APTOS,08037e4490e5.png,srcnn,39.147880786601526,0.9117540438712424
APTOS,084c02cf077f.png,bicubic,38.900789949392525,0.8896964356407882
APTOS,084c02cf077f.png,espcn,39.58093311578547,0.9698538122390592
APTOS,084c02cf077f.png,fsrcnn,28.966056488162852,0.9462304337931249
APTOS,084c02cf077f.png,srcnn,39.72809859488981,0.9105317652687033
APTOS,0851d6a69589.png,bicubic,37.81900607385755,0.8931033925794792
APTOS,0851d6a69589.png,espcn,37.65517179432499,0.9217877990918076
APTOS,0851d6a69589.png,fsrcnn,31.599508987535504,0.8601527457651797
APTOS,0851d6a69589.png,srcnn,38.07306429994299,0.9268768892239404
APTOS,08b6e3240858.png,bicubic,38.99876913363836,0.8972967464381236
APTOS,08b6e3240858.png,espcn,35.944402068981105,0.9599538279582247
APTOS,08b6e3240858.png,fsrcnn,24.4745423947684,0.716939288947735
APTOS,08b6e3240858.png,srcnn,41.011252655222975,0.9659429646606202
APTOS,08bef347f40d.png,bicubic,38.301112394189985,0.894276961827453
APTOS,08bef347f40d.png,espcn,38.34163478322752,0.9377276793436732
APTOS,08bef347f40d.png,fsrcnn,30.35742696081187,0.8511507555690424
APTOS,08bef347f40d.png,srcnn,38.58509396439864,0.9289216149376948
APTOS,08c60c647673.png,bicubic,38.89256959632756,0.9025285123452774
APTOS,08c60c647673.png,espcn,36.552446435189545,0.9631455758597699
APTOS,08c60c647673.png,fsrcnn,30.252843568248437,0.8655756793639182
APTOS,08c60c647673.png,srcnn,40.542320358314605,0.9655752227979632
APTOS,08ee569d4721.png,bicubic,37.024938954905906,0.8882723649580352
APTOS,08ee569d4721.png,espcn,36.51771585006096,0.9191968316307414
APTOS,08ee569d4721.png,fsrcnn,32.84411903519527,0.8714003090698954
APTOS,08ee569d4721.png,srcnn,37.12663763630378,0.9203716764098516
APTOS,08f8838d69bb.png,bicubic,36.91604147066769,0.8885189011937499
